Year,Actor,Film,Role(s)
"1927/28
(1st)",Emil Jannings [A],"The Last Command
The Way of All Flesh","Grand Duke Sergius Alexander
August Schilling"
,Richard Barthelmess,"The Noose
The Patent Leather Kid","Nickie Elkins
Patent Leather Kid"
"1928/29
(2nd)",Warner Baxter,In Old Arizona,The Cisco Kid
,George Bancroft,Thunderbolt,Thunderbolt Jim Lang
,Chester Morris,Alibi,Chick Williams (No. 1065)
,Paul Muni,The Valiant,James Dyke
,Lewis Stone,The Patriot,Count Pahlen
"1929/30
(3rd)",George Arliss [B],Disraeli,Benjamin Disraeli
,George Arliss[B],The Green Goddess,The Raja
,Wallace Beery,The Big House,Butch 'Machine Gun' Schmidt
,Maurice Chevalier [B],"The Big Pond
The Love Parade","Pierre Mirande
Count Alfred Renard"
,Ronald Colman [B],"Bulldog Drummond
Condemned","Capt. Hugh 'Bulldog' Drummond
Michel"
,Lawrence Tibbett,The Rogue Song,Yegor
"1930/31
(4th)",Lionel Barrymore,A Free Soul,Stephen Ashe
,Jackie Cooper,Skippy,Skippy Skinner
,Richard Dix,Cimarron,Yancey Cravat
,Fredric March,The Royal Family of Broadway,Tony Cavendish
,Adolphe Menjou,The Front Page,Walter Burns
"1931/32
(5th)",Wallace Beery [C],The Champ,"Andy ""Champ"" Purcell"
,Fredric March [C],Dr. Jekyll and Mr. Hyde,Dr. Henry Jekyll / Mr. Edward Hyde
,Alfred Lunt,The Guardsman,The Actor
"1932/33
(6th)",Charles Laughton,The Private Life of Henry VIII,King Henry VIII of England
,Leslie Howard,Berkeley Square,Peter Standish
,Paul Muni,I Am a Fugitive from a Chain Gang,James Allen
"1934
(7th)",Clark Gable,It Happened One Night,Peter Warne
,Frank Morgan,The Affairs of Cellini,Alessandro – Duke of Florence
,William Powell,The Thin Man,Nick Charles
"1935
(8th)",Victor McLaglen,The Informer,Gypo Nolan
,Clark Gable,Mutiny on the Bounty,Lieutenant Fletcher Christian
,Charles Laughton,Mutiny on the Bounty,Captain William Bligh
,Franchot Tone,Mutiny on the Bounty,Midshipman Roger Byam
,Paul Muni [D],Black Fury,Joe Radek
"1936
(9th)",Paul Muni,The Story of Louis Pasteur,Louis Pasteur
,Gary Cooper,Mr. Deeds Goes to Town,Longfellow Deeds
,Walter Huston,Dodsworth,Sam Dodsworth
,William Powell,My Man Godfrey,Godfrey Park
,Spencer Tracy,San Francisco,Father Tim Mullin
"1937
(10th)",Spencer Tracy,Captains Courageous,Manuel
,Charles Boyer,Conquest,Emperor Napoleon Bonaparte
,Fredric March,A Star Is Born,Norman Maine
,Robert Montgomery,Night Must Fall,Danny
,Paul Muni,The Life of Emile Zola,Émile Zola
"1938
(11th)",Spencer Tracy,Boys Town,Father Flanagan
,Charles Boyer,Algiers,Pepe le Moko
,James Cagney,Angels with Dirty Faces,Rocky Sullivan
,Robert Donat,The Citadel,Dr. Andrew Manson
,Leslie Howard,Pygmalion,Professor Henry Higgins
"1939
(12th)",Robert Donat,"Goodbye, Mr. Chips",Charles Edward Chipping
,Clark Gable,Gone with the Wind,Rhett Butler
,Laurence Olivier,Wuthering Heights,Heathcliff
,Mickey Rooney,Babes in Arms,Mickey Moran
,James Stewart,Mr. Smith Goes to Washington,Jefferson Smith
"1940
(13th)",James Stewart,The Philadelphia Story,"Macaulay ""Mike"" Connor"
,Charlie Chaplin,The Great Dictator,Adenoid Hynkel/The Barber
,Henry Fonda,The Grapes of Wrath,Tom Joad
,Raymond Massey,Abe Lincoln in Illinois,Abraham Lincoln
,Laurence Olivier,Rebecca,Maxim' de Winter
"1941
(14th)",Gary Cooper,Sergeant York,Sgt. Alvin C. York
,Cary Grant,Penny Serenade,Roger Adams
,Walter Huston,The Devil and Daniel Webster,Mr. Scratch
,Robert Montgomery,Here Comes Mr. Jordan,Joe Pendleton
,Orson Welles,Citizen Kane,Charles Foster Kane
"1942
(15th)",James Cagney,Yankee Doodle Dandy,George M. Cohan
,Ronald Colman,Random Harvest,Charles Rainier
,Gary Cooper,The Pride of the Yankees,Lou Gehrig
,Walter Pidgeon,Mrs. Miniver,Clem Miniver
,Monty Woolley,The Pied Piper,Howard
"1943
(16th)",Paul Lukas,Watch on the Rhine,Kurt Muller
,Humphrey Bogart,Casablanca,Rick Blaine
,Gary Cooper,For Whom the Bell Tolls,Robert Jordan
,Walter Pidgeon,Madame Curie,Pierre Curie
,Mickey Rooney,The Human Comedy,Homer Macauley
"1944
(17th)",Bing Crosby,Going My Way,Father Chuck O'Malley
,Charles Boyer,Gaslight,Gregory Anton
,Barry Fitzgerald,Going My Way,Father Fitzgibbon
,Cary Grant,None but the Lonely Heart,Ernie Mott
,Alexander Knox,Wilson,Woodrow Wilson
"1945
(18th)",Ray Milland,The Lost Weekend,Don Birnam
,Bing Crosby,The Bells of St. Mary's,Father Chuck O'Malley
,Gene Kelly,Anchors Aweigh,Joseph Brady
,Gregory Peck,The Keys of the Kingdom,Father Francis
,Cornel Wilde,A Song to Remember,Frédéric Chopin
"1946
(19th)",Fredric March,The Best Years of Our Lives,Al Stephenson
,Laurence Olivier,Henry V,King Henry V of England
,Larry Parks,The Jolson Story,Al Jolson
,Gregory Peck,The Yearling,"Ezra ""Penny"" Baxter"
